household,person,age,maritalStatus,income,female,hispanic,race,edu
2043,2,42,Now married,45500,1,0,White,Bachelors
2043,3,12,,,0,0,White,Less than High School
2043,4,9,,,1,0,White,Less than High School
2203,1,48,Now married,101350,0,0,White,Bachelors
2203,2,48,Now married,41000,1,0,White,High School
2203,3,21,Never married,29700,1,0,White,Some College
2203,4,18,Never married,0,0,0,White,Less than High School
2203,5,18,Never married,1600,0,0,White,Less than High School
2614,1,19,Never married,7000,1,0,White,Less than High School
2614,2,18,Never married,13000,0,0,Other,Less than High School
2614,3,0,,,1,0,Other,
2976,1,49,Now married,100000,0,0,White,Advanced Degree
2976,2,48,Now married,296000,1,0,White,Advanced Degree
3024,1,34,Now married,12000,0,0,White,Less than High School
3024,2,34,Now married,0,1,0,White,Less than High School
3024,3,15,Never married,0,1,0,White,Less than High School
3024,4,12,,,0,0,White,Less than High School
3024,5,5,,,0,0,White,Less than High School
3250,1,72,Widowed,7500,1,0,White,Less than High School
3508,1,40,Separated,13000,1,0,White,Less than High School
3508,2,19,Never married,11400,1,0,White,Less than High School
3508,3,0,,,0,0,White,
3508,4,34,Never married,12500,0,0,White,Less than High School
3508,5,17,Never married,29300,0,0,White,Less than High School
3550,1,27,Divorced,11804,0,0,White,Some College
3817,1,65,Now married,45100,0,0,White,Some College
3817,2,64,Now married,5500,1,0,White,Some College
4088,1,58,Widowed,17000,1,0,White,Less than High School
4097,1,35,Now married,52000,0,0,White,Some College
4097,2,30,Now married,2600,1,0,White,Some College
4097,3,8,,,0,0,White,Less than High School
4097,4,3,,,0,0,White,Less than High School
4097,5,1,,,0,0,White,
4097,6,0,,,0,0,White,
4173,1,35,Now married,65000,1,0,White,Less than High School
4173,2,35,Now married,65000,0,0,White,High School
4173,3,16,Never married,2500,0,0,White,Less than High School
4173,4,14,,,1,0,White,Less than High School
4173,5,9,,,1,0,White,Less than High School
4201,1,42,Separated,52000,1,0,White,Some College
4201,2,15,Never married,170,0,0,White,Less than High School
4201,3,13,,,0,0,White,Less than High School
4363,1,53,Separated,8560,1,0,White,High School
4363,2,28,Never married,5500,0,0,White,Bachelors
4363,3,28,Never married,46000,0,0,White,Bachelors
4377,1,66,Now married,95800,0,0,White,Advanced Degree
4377,2,60,Now married,24900,1,0,White,High School
4398,1,33,Now married,10000,1,0,White,Advanced Degree
4398,2,34,Now married,76000,0,0,White,Advanced Degree
4398,3,5,,,0,0,White,Less than High School
4398,4,3,,,0,0,White,Less than High School
4398,5,0,,,0,0,White,
4429,1,52,Now married,35400,0,0,White,High School
4429,2,52,Now married,35300,1,0,White,Some College
4635,1,37,Now married,49500,0,0,White,Advanced Degree
4635,2,36,Now married,2200,1,0,White,Bachelors
4635,3,12,,,1,0,White,Less than High School
4635,4,9,,,0,0,White,Less than High School
4635,5,8,,,1,0,White,Less than High School
4733,1,60,Now married,54600,0,0,White,High School
4733,2,55,Now married,9800,1,0,White,Some College
4733,3,27,Never married,27000,1,0,White,Some College
4733,4,9,,,0,0,White,Less than High School
4820,1,31,Now married,37800,0,0,White,Some College
4820,2,32,Now married,38000,1,0,Asian,Some College
4820,3,3,,,1,0,Other,Less than High School
4877,1,22,Never married,4600,1,0,White,Some College
5011,1,28,Divorced,33200,1,0,White,Bachelors
5011,2,27,Never married,20600,1,0,White,Bachelors
5084,1,61,Now married,50000,0,0,White,Some College
5084,2,63,Now married,12200,1,0,White,Some College
5084,3,36,Divorced,17600,1,0,White,High School
5095,1,29,Never married,26500,0,0,White,Some College
5095,2,23,Never married,23000,1,0,White,Some College
5095,3,28,Never married,48100,0,0,White,Bachelors
5095,4,29,Never married,27000,0,0,White,High School
5130,1,43,Now married,45000,0,0,White,High School
5130,2,38,Now married,40100,1,0,White,Advanced Degree
5376,1,43,Never married,78400,0,0,White,Advanced Degree
5447,1,29,Never married,17600,0,0,White,High School
5912,1,53,Now married,18300,0,0,White,Some College
5912,2,53,Now married,39500,1,0,White,High School
6251,1,43,Now married,150000,0,0,White,Bachelors
6251,2,42,Now married,6700,1,0,White,Some College
6251,3,15,Never married,0,0,0,White,Less than High School
6251,4,13,,,0,0,White,Less than High School
6251,5,10,,,0,0,White,Less than High School
6350,1,56,Now married,54000,0,0,White,Advanced Degree
6350,2,56,Now married,36000,1,0,White,Some College
6577,1,49,Now married,32150,0,0,White,Some College
6577,2,55,Now married,29500,1,0,White,Advanced Degree
6878,1,54,Divorced,15600,0,0,White,High School
6939,1,52,Divorced,32000,0,0,White,High School
6939,2,82,Widowed,4800,1,0,White,High School
6985,1,25,Now married,24000,0,0,White,Some College
6985,2,26,Now married,28900,1,0,White,Some College
6985,3,9,,,0,0,White,Less than High School
6985,4,6,,,0,0,White,Less than High School
7174,1,42,Divorced,34700,0,0,White,High School
7174,2,12,,,0,0,White,Less than High School
7268,1,54,Widowed,0,1,0,White,Bachelors
7276,1,74,Widowed,21300,1,0,White,High School
7284,1,58,Now married,20620,0,0,White,Less than High School
7284,2,58,Now married,20800,1,0,White,High School
7284,3,39,Divorced,5100,1,0,White,High School
7296,1,72,Divorced,11000,1,0,White,Some College
7510,1,86,Widowed,30200,1,0,White,Less than High School
7517,1,27,Now married,14000,0,0,White,Some College
7517,2,26,Now married,13000,1,0,White,High School
7563,1,45,Now married,40350,0,0,White,Some College
7563,2,45,Now married,31100,1,0,White,Advanced Degree
7633,1,35,Never married,36660,1,0,White,Advanced Degree
7633,2,39,Never married,33300,1,0,White,Bachelors
7650,1,46,Now married,23000,1,0,White,High School
7650,2,53,Now married,40000,0,0,White,Less than High School
7650,3,20,Never married,6400,0,0,White,Less than High School
7650,4,18,Never married,6400,0,0,White,Less than High School
7746,1,51,Now married,30420,0,0,White,Some College
7746,2,51,Now married,25000,1,0,White,Some College
7746,3,81,Widowed,12200,0,0,White,High School
7837,1,33,Now married,28000,0,0,White,High School
7837,2,26,Now married,15000,1,0,White,Some College
8314,1,34,Never married,73000,0,0,White,Some College
8435,1,39,Now married,15000,0,1,Hispanic,Less than High School
8435,2,40,Now married,31220,1,1,Hispanic,Less than High School
8435,3,14,,,0,1,Hispanic,Less than High School
8435,4,12,,,0,1,Hispanic,Less than High School
8466,1,31,Now married,60380,0,0,White,Bachelors
8466,2,30,Now married,20300,1,0,White,Bachelors
8466,3,0,,,0,0,White,
8740,1,21,Never married,10000,0,0,White,High School
8740,2,20,Never married,5500,0,0,White,High School
8740,3,21,Never married,9000,0,0,White,High School
8787,1,45,Divorced,38000,1,0,White,Some College
8787,2,16,Never married,3600,0,0,White,Less than High School
8787,3,15,Never married,200,1,0,White,Less than High School
8969,1,79,Now married,22100,0,0,White,Less than High School
8969,2,70,Now married,12000,1,0,White,Some College
8969,3,37,Divorced,13600,0,0,White,Some College
8981,1,75,Now married,18700,0,0,White,Some College
8981,2,72,Now married,5100,1,0,White,High School
9191,1,20,Never married,6730,0,0,White,Some College
9389,1,87,Now married,14600,0,0,White,High School
9389,2,71,Now married,12000,1,0,White,Some College
9389,3,38,Divorced,20000,0,0,White,High School
9645,1,34,Never married,21000,0,0,White,Some College
9645,2,37,Divorced,12000,1,0,White,High School
9645,3,8,,,0,0,White,Less than High School
9671,1,46,Divorced,14000,0,0,White,Some College
9671,2,18,Never married,7500,0,0,White,Less than High School
10041,1,61,Now married,17600,0,0,White,High School
10041,2,56,Now married,23900,1,0,White,High School
10041,3,23,Never married,300,1,0,White,Some College
10135,1,22,Never married,6030,1,0,White,Some College
10135,2,20,Never married,2000,1,0,White,Some College
10199,1,52,Now married,51500,0,0,White,Some College
10199,2,55,Now married,32200,1,0,Asian,Less than High School
10327,1,72,Now married,33300,0,0,White,Bachelors
10327,2,67,Now married,7200,1,0,White,Advanced Degree
10472,1,40,Never married,12000,1,0,Black,Some College
10472,2,19,Never married,0,0,0,Black,Less than High School
10472,3,15,Never married,6000,0,0,Black,Less than High School
10516,1,50,Divorced,23000,1,0,Black,Bachelors
10794,1,33,Never married,14300,0,0,White,High School
10794,2,3,,,0,0,Other,Less than High School
10794,3,1,,,1,0,Other,
10794,4,27,Separated,8100,1,0,Other,Some College
10794,5,9,,,1,0,Other,Less than High School
10794,6,34,Never married,1800,0,0,Black,Some College
10972,1,57,Widowed,6160,1,0,Black,Less than High School
11214,1,51,Divorced,19630,1,0,White,Some College
11214,2,26,Divorced,12000,1,0,White,High School
11214,3,3,,,1,0,White,Less than High School
11360,1,63,Now married,122700,0,0,White,High School
11360,2,59,Now married,5000,1,0,White,High School
11407,1,46,Now married,42000,0,0,White,Less than High School
11407,2,42,Now married,800,1,0,White,High School
11407,3,14,,,0,0,White,Less than High School
11407,4,1,,,1,0,White,
11407,5,65,Widowed,18000,1,0,White,High School
11442,1,46,Now married,117004,0,1,Hispanic,Advanced Degree
11442,2,44,Now married,0,1,1,Hispanic,Advanced Degree
11442,3,14,,,0,1,Hispanic,Less than High School
11651,1,38,Never married,11000,0,0,White,Less than High School
11819,1,46,Now married,18000,0,0,White,High School
11819,2,44,Now married,15000,1,0,White,Less than High School
11819,3,13,,,0,0,White,Less than High School
11819,4,12,,,1,0,White,Less than High School
11823,1,38,Now married,20500,0,0,White,Bachelors
11823,2,41,Now married,0,1,0,White,Some College
11875,1,37,Never married,35000,0,0,White,High School
12249,1,48,Never married,50000,1,0,White,Advanced Degree
12259,1,59,Now married,30000,0,0,White,High School
12259,2,59,Now married,0,1,0,White,High School
12260,1,72,Now married,38380,0,0,White,Some College
12260,2,66,Now married,2900,1,0,White,High School
12286,1,26,Never married,27400,0,0,White,Some College
12286,2,30,Divorced,27000,1,0,White,High School
12286,3,30,Divorced,30000,0,0,White,Some College
12329,1,45,Divorced,3900,1,0,White,High School
12413,1,67,Now married,120330,0,0,White,Some College
12413,2,49,Now married,0,1,0,White,High School
12477,1,51,Now married,42050,0,0,Other,Some College
12477,2,49,Now married,24000,1,0,Other,High School
12477,3,19,Never married,8000,1,0,Other,High School
12477,4,0,,,0,0,Other,
12528,1,39,Now married,63004,0,0,White,High School
12528,2,45,Now married,0,1,0,White,High School
12528,3,20,Never married,3000,0,0,White,High School
12806,1,49,Now married,34000,0,0,White,Advanced Degree
12806,2,39,Now married,15000,1,0,White,Some College
12806,3,16,Never married,0,0,0,White,Less than High School
12806,4,11,,,0,0,White,Less than High School
12949,1,51,Widowed,32000,0,0,White,Some College
12949,2,30,Never married,5900,1,0,Asian,High School
12949,3,24,Never married,17700,0,0,Other,Some College
12964,1,42,Divorced,25000,1,0,White,Some College
12964,2,55,Divorced,30000,0,0,White,Some College
13226,1,81,Widowed,6910,1,0,Black,Less than High School
13280,1,40,Divorced,40000,0,0,Other,Some College
13394,1,21,Never married,13000,0,0,White,Some College
13394,2,21,Never married,21300,0,0,White,Some College
13772,1,56,Now married,33500,0,0,White,Less than High School
13772,2,56,Now married,3500,1,0,White,High School
13794,1,39,Now married,23000,0,0,White,High School
13794,2,31,Now married,15000,1,0,White,High School
13794,3,10,,,1,0,White,Less than High School
13794,4,1,,,0,0,White,
13820,1,76,Now married,11000,0,0,White,Less than High School
13820,2,63,Now married,9300,1,0,White,Some College
13828,1,42,Separated,6100,1,0,Black,Less than High School
13828,2,59,Separated,7000,0,0,Black,Less than High School
13999,1,32,Now married,61030,0,0,White,Some College
13999,2,37,Now married,50000,1,0,White,Bachelors
13999,3,11,,,1,0,White,Less than High School
13999,4,9,,,1,0,White,Less than High School
13999,5,1,,,1,0,White,
14102,1,28,Now married,30000,0,0,White,High School
14102,2,25,Now married,6400,1,0,White,High School
14102,3,2,,,1,0,White,
14306,1,65,Widowed,16200,1,0,White,High School
14306,2,36,Divorced,23100,0,0,White,Some College
14429,1,66,Now married,7000,0,0,White,Bachelors
14429,2,62,Now married,29000,1,0,White,Bachelors
14947,1,45,Never married,4440,1,0,Black,Less than High School
14947,2,4,,,0,0,Black,Less than High School
14947,3,2,,,0,0,Black,
14947,4,14,,,0,0,Black,Less than High School
15365,1,39,Now married,34000,0,0,White,Advanced Degree
15365,2,40,Now married,12270,1,0,White,High School
15365,3,13,,,0,0,White,Less than High School
15365,4,11,,,1,0,White,Less than High School
15386,1,47,Now married,10000,0,0,White,Less than High School
15386,2,48,Now married,42000,1,0,White,High School
15436,1,30,Never married,17000,0,0,Black,Some College
15585,1,36,Now married,36000,1,0,White,High School
15585,2,42,Now married,30000,0,0,White,Some College
15585,3,1,,,1,0,Asian,
16131,1,39,Divorced,12000,1,0,Black,High School
16131,2,10,,,1,0,Black,Less than High School
16131,3,34,Never married,31000,0,0,Black,High School
16152,1,50,Divorced,50600,1,0,White,Bachelors
16358,1,40,Never married,41100,1,0,Black,Advanced Degree
16464,1,38,Divorced,47000,0,0,White,Bachelors
16464,2,11,,,1,0,White,Less than High School
16554,1,71,Widowed,8300,1,0,White,High School
16554,2,73,Now married,9700,1,0,White,High School
16554,3,72,Now married,10800,0,0,White,Less than High School
16649,1,49,Widowed,24600,1,0,White,High School
16649,2,12,,,0,0,White,Less than High School
16730,1,42,Now married,30000,0,0,White,High School
16730,2,41,Now married,18000,1,0,White,Some College
16730,3,9,,,0,0,White,Less than High School
16864,1,69,Never married,50100,0,0,White,Advanced Degree
16864,2,53,Never married,0,0,0,White,Advanced Degree
16957,1,25,Separated,1500,1,0,White,Less than High School
16957,2,8,,,0,0,White,Less than High School
16957,3,6,,,0,0,White,Less than High School
16957,4,5,,,0,0,White,Less than High School
16957,5,1,,,1,0,White,
16957,6,28,Divorced,19000,0,0,White,Less than High School
17295,1,63,Now married,5000,0,0,White,Less than High School
17295,2,63,Now married,10000,1,0,White,Some College
17395,1,67,Now married,1500,0,0,White,Less than High School
17395,2,58,Now married,0,1,0,White,Less than High School
17852,1,72,Widowed,20110,1,0,White,Some College
18109,1,76,Divorced,23800,1,0,Black,High School
18133,1,68,Now married,20450,1,0,Black,Some College
18133,2,53,Now married,0,0,0,Black,Some College
18184,1,85,Now married,12000,0,0,White,High School
18184,2,87,Now married,0,1,0,White,High School
18501,1,67,Divorced,22800,1,0,White,Advanced Degree
18647,1,20,Never married,2000,1,1,Hispanic,Some College
18663,1,22,Never married,900,0,0,White,Some College
18663,2,21,Never married,900,0,0,White,Some College
18663,3,19,Never married,3500,0,0,White,Some College
18850,1,30,Never married,55000,0,0,Asian,Advanced Degree
18873,1,53,Now married,55000,0,0,White,Some College
18873,2,44,Now married,7000,1,0,White,High School
18873,3,20,Never married,0,0,0,White,High School
18873,4,15,Never married,0,0,0,White,Less than High School
18882,1,52,Never married,13200,0,0,White,High School
18910,1,43,Widowed,33000,1,0,White,Some College
18910,2,16,Never married,12100,0,0,White,Less than High School
19097,1,31,Now married,6000,1,0,White,High School
19097,2,36,Now married,68000,0,0,White,Some College
19097,3,8,,,1,0,White,Less than High School
19097,4,8,,,1,0,White,Less than High School
19097,5,5,,,0,0,White,Less than High School
19097,6,1,,,1,0,White,
19131,1,42,Now married,25000,0,0,White,Advanced Degree
19131,2,44,Now married,10000,1,0,White,High School
19183,1,46,Now married,17100,0,0,White,Less than High School
19183,2,47,Now married,5400,1,0,White,Less than High School
19183,3,18,Now married,0,1,0,White,Less than High School
19183,4,24,Now married,37300,0,0,White,High School
19455,1,55,Divorced,17100,1,0,White,Some College
19455,2,46,Widowed,85004,0,0,White,Some College
19538,1,75,Widowed,7180,1,0,Black,Less than High School
19538,2,55,Divorced,2600,0,0,Black,Less than High School
19538,3,55,Separated,20800,0,0,Black,Less than High School
19538,4,69,Divorced,95500,0,0,Black,Bachelors
19775,1,40,Divorced,2620,1,0,Black,Less than High School
19775,2,12,,,0,0,Black,Less than High School
19932,1,85,Never married,17100,0,0,Black,Less than High School
19932,2,71,Widowed,11500,1,0,Black,Less than High School
20146,1,33,Now married,146500,0,0,White,Bachelors
20146,2,32,Now married,0,1,0,White,Bachelors
20146,3,5,,,0,0,White,Less than High School
20146,4,3,,,1,0,White,Less than High School
20414,1,45,Now married,25000,0,0,Black,Bachelors
20414,2,36,Now married,29000,1,0,Other,Advanced Degree
20414,3,18,Never married,9000,0,0,Black,Less than High School
20414,4,14,,,1,0,Other,Less than High School
20414,5,13,,,1,0,Other,Less than High School
20414,6,6,,,0,0,Other,Less than High School
20586,1,40,Divorced,40000,0,0,White,Some College
20586,2,29,Widowed,16000,1,0,White,High School
20586,3,11,,,0,0,White,Less than High School
20586,4,10,,,1,0,White,Less than High School
20598,1,67,Widowed,58000,1,0,White,High School
20692,1,40,Divorced,35000,1,1,Hispanic,Bachelors
20898,1,46,Divorced,64200,0,0,White,Advanced Degree
20898,2,39,Divorced,41300,1,0,Asian,Bachelors
20906,1,36,Now married,36720,0,0,White,Some College
20906,2,37,Now married,7350,1,0,White,Bachelors
20906,3,6,,,1,0,White,Less than High School
20906,4,1,,,0,0,White,
20962,1,61,Divorced,34800,0,0,White,Bachelors
20966,1,61,Divorced,10100,1,0,White,Some College
21115,1,32,Never married,6000,0,0,Black,High School
21244,1,27,Now married,40000,0,0,White,Some College
21244,2,23,Now married,43000,1,0,White,Some College
21273,1,36,Now married,47500,0,1,Hispanic,Some College
21273,2,28,Now married,0,1,1,Hispanic,Some College
21273,3,1,,,1,1,Hispanic,
21273,4,0,,,0,1,Hispanic,
21353,1,28,Now married,40000,0,0,White,Some College
21353,2,26,Now married,0,1,0,White,Some College
21353,3,1,,,0,0,White,
21383,1,73,Widowed,28000,1,0,White,Less than High School
21458,1,71,Divorced,26900,1,0,White,High School
21557,1,25,Never married,29900,0,0,Black,Bachelors
21829,1,53,Now married,320370,0,0,White,Advanced Degree
21829,2,54,Now married,27000,1,0,White,Bachelors
21829,3,26,Never married,20000,0,0,White,Some College
21830,1,68,Now married,12450,0,0,White,Bachelors
21830,2,70,Now married,15000,1,0,White,Bachelors
21855,1,32,Never married,40000,0,0,White,Some College
21916,1,64,Now married,49100,0,0,White,Bachelors
21916,2,63,Now married,11400,1,0,White,Bachelors
22365,1,34,Now married,21000,0,0,White,Some College
22365,2,34,Now married,22000,1,0,White,Some College
22414,1,21,Never married,10000,1,0,Black,High School
22593,1,31,Now married,34550,0,0,Black,Bachelors
22593,2,29,Now married,0,1,0,Asian,Some College
22593,3,3,,,1,0,Other,Less than High School
22593,4,0,,,1,0,Other,
22803,1,63,Divorced,38000,0,0,White,Some College
22899,1,56,Now married,130000,0,0,White,Some College
22899,2,46,Now married,22800,1,0,White,Less than High School
22965,1,26,Divorced,13000,0,0,White,High School
23037,1,49,Now married,24120,0,0,White,High School
23037,2,55,Now married,26790,1,0,White,High School
23040,1,42,Now married,151000,0,0,White,Bachelors
23040,2,41,Now married,1000,1,0,White,Bachelors
23040,3,14,,,0,0,White,Less than High School
23040,4,8,,,0,0,White,Less than High School
23040,5,7,,,1,0,White,Less than High School
23219,1,45,Now married,90000,1,0,White,Advanced Degree
23219,2,53,Now married,0,0,0,White,Some College
23372,1,62,Widowed,14700,1,0,White,Advanced Degree
23515,1,39,Now married,47500,0,0,White,Bachelors
23515,2,36,Now married,12000,1,0,White,Some College
23515,3,11,,,1,0,White,Less than High School
23515,4,8,,,1,0,White,Less than High School
23520,1,72,Now married,17000,0,0,White,High School
23520,2,63,Now married,33600,1,0,White,Advanced Degree
23526,1,77,Now married,131020,0,0,White,Less than High School
23526,2,77,Now married,6600,1,0,White,Less than High School
23579,1,37,Now married,50000,0,0,White,High School
23579,2,35,Now married,1300,1,0,White,Some College
23579,3,19,Never married,7000,1,0,White,Less than High School
23579,4,12,,,0,0,White,Less than High School
23658,1,24,Now married,33100,0,1,Hispanic,High School
23658,2,23,Now married,0,1,0,White,High School
23658,3,2,,,0,0,White,
23658,4,0,,,1,0,White,
24102,1,54,Widowed,34330,1,0,White,Less than High School
24141,1,49,Now married,20300,0,0,White,Bachelors
24141,2,49,Now married,46500,1,0,White,Bachelors
24196,1,68,Widowed,11500,1,0,White,High School
24224,1,77,Now married,17000,0,0,White,Some College
24224,2,72,Now married,4600,1,0,White,High School
24407,1,40,Now married,36000,0,0,White,Some College
24407,2,39,Now married,11800,1,0,White,Some College
24407,3,16,Never married,6100,0,0,White,Less than High School
24407,4,16,Never married,0,0,0,White,Less than High School
24407,5,14,,,0,0,White,Less than High School
24428,1,68,Now married,50200,0,0,White,Advanced Degree
24428,2,82,Now married,16700,1,0,White,High School
24435,1,40,Divorced,12000,1,0,White,High School
24435,2,3,,,0,0,White,Less than High School
24752,1,77,Widowed,35700,1,0,White,High School
24810,1,82,Now married,52000,0,0,White,Advanced Degree
24810,2,73,Now married,4800,1,0,White,Some College
24822,1,55,Divorced,8700,0,0,Black,Less than High School
24859,1,44,Now married,28000,0,0,White,Some College
24859,2,40,Now married,0,1,0,White,Some College
24859,3,12,,,1,0,White,Less than High School
24859,4,20,Never married,11000,1,0,White,Less than High School
24859,5,50,Never married,15300,1,0,White,Some College
24903,1,52,Widowed,53000,1,0,White,Advanced Degree
25032,1,86,Now married,21800,0,0,White,High School
25032,2,71,Now married,0,1,0,White,High School
25196,1,40,Divorced,7180,1,0,White,High School
25196,2,20,Never married,300,1,0,White,Less than High School
25196,3,1,,,0,0,White,
25210,1,34,Now married,6870,0,0,White,Bachelors
25210,2,54,Now married,0,1,0,White,Bachelors
25210,3,10,,,1,0,White,Less than High School
25210,4,30,Widowed,20000,0,0,White,Less than High School
25243,1,37,Separated,21000,0,0,Black,Less than High School
25243,2,12,,,0,0,Black,Less than High School
25243,3,9,,,0,0,Black,Less than High School
25287,1,87,Now married,122800,0,0,White,Less than High School
25287,2,54,Divorced,12000,1,0,White,High School
25287,3,33,Divorced,31000,0,0,White,High School
25287,4,93,Never married,15800,0,0,White,Bachelors
25287,5,50,Never married,3000,0,0,White,High School
25299,1,37,Now married,18000,0,1,Hispanic,Less than High School
25299,2,33,Now married,9000,1,1,Hispanic,Less than High School
25299,3,15,Never married,0,0,1,Hispanic,Less than High School
25299,4,14,,,0,1,Hispanic,Less than High School
25299,5,10,,,1,1,Hispanic,Less than High School
25299,6,7,,,0,1,Hispanic,Less than High School
25299,7,3,,,1,1,Hispanic,Less than High School
25598,1,81,Now married,9400,0,0,White,High School
25598,2,74,Now married,27600,1,0,White,High School
25598,3,44,Separated,30300,0,0,White,Some College
25598,4,42,Divorced,21200,0,0,White,High School
25609,1,38,Now married,32000,0,0,White,High School
25609,2,36,Now married,1600,1,0,White,High School
25609,3,3,,,1,0,White,Less than High School
25622,1,63,Now married,69500,0,0,White,Advanced Degree
25622,2,62,Now married,14100,1,0,White,Some College
25761,1,38,Now married,28000,0,0,White,Some College
25761,2,39,Now married,0,1,0,White,Some College
25762,1,76,Widowed,5200,1,0,White,High School
25898,1,85,Never married,57900,1,0,White,Bachelors
25941,1,30,Never married,0,1,0,Black,Some College
25941,2,5,,,1,0,Black,Less than High School
26149,1,53,Now married,32000,0,0,White,High School
26149,2,52,Now married,25000,1,0,White,Some College
26256,1,51,Divorced,71700,1,0,White,Some College
26262,1,93,Widowed,29000,1,0,White,Less than High School
26346,1,67,Widowed,25000,0,0,White,High School
26346,2,34,Never married,25000,0,0,White,High School
26440,1,75,Now married,21400,0,0,White,High School
26440,2,79,Now married,0,1,0,White,High School
26440,3,47,Never married,20800,0,0,White,Less than High School
26442,1,66,Now married,23500,0,0,White,High School
26442,2,72,Now married,23500,1,0,White,Some College
26600,1,82,Widowed,45200,0,0,White,Some College
26651,1,60,Widowed,112000,1,0,White,Some College
26651,2,38,Divorced,18000,0,0,White,Some College
26809,1,37,Now married,32000,0,0,White,Some College
26809,2,31,Now married,15000,1,0,White,Some College
26809,3,0,,,0,0,White,
26827,1,42,Now married,33000,0,0,White,Less than High School
26827,2,42,Now married,14000,1,0,White,Less than High School
26827,3,18,Never married,6000,0,0,White,High School
26858,1,84,Widowed,30000,0,0,White,High School
26905,1,53,Now married,60000,0,0,White,Bachelors
26905,2,52,Now married,19950,1,0,White,Some College
26938,1,66,Now married,21800,0,0,White,High School
26938,2,62,Now married,4000,1,0,White,Less than High School
27168,1,74,Now married,51000,0,0,White,High School
27168,2,88,Now married,26400,1,0,White,Some College
27239,1,72,Widowed,11500,1,0,White,High School
27251,1,41,Divorced,4,1,0,White,Some College
27251,2,13,,,1,0,White,Less than High School
27251,3,9,,,1,0,White,Less than High School
27308,1,64,Now married,15500,0,0,White,Bachelors
27308,2,60,Now married,0,1,0,White,Some College
27899,1,73,Widowed,38400,0,0,White,Some College
28014,1,72,Widowed,6200,1,0,White,High School
28014,2,53,Now married,0,0,0,White,High School
28014,3,52,Now married,0,1,0,White,High School
28233,1,25,Never married,30000,0,0,White,High School
28233,2,1,,,0,0,White,
28233,3,24,Never married,23000,1,0,White,Some College
28531,1,64,Divorced,38000,0,0,White,Some College
28599,1,80,Widowed,22000,1,0,White,Less than High School
28727,1,46,Now married,8300,0,0,White,Less than High School
28727,2,41,Now married,520,1,0,White,High School
28727,3,17,Never married,6390,0,0,White,Less than High School
28727,4,12,,,1,0,White,Less than High School
28727,5,10,,,0,0,White,Less than High School
28939,1,35,Now married,2100,1,0,White,Some College
28939,2,30,Now married,36100,0,0,White,Advanced Degree
28939,3,5,,,1,0,White,Less than High School
28939,4,1,,,1,0,White,
29051,1,20,Never married,1100,0,0,White,Less than High School
29051,2,20,Never married,0,0,0,Other,High School
29159,1,71,Now married,5000,1,0,White,Less than High School
29159,2,59,Now married,50000,0,0,White,Less than High School
29159,3,21,Divorced,12000,1,0,White,High School
29159,4,3,,,0,0,White,Less than High School
29159,5,1,,,0,0,White,
29327,1,50,Now married,25000,0,0,White,High School
29327,2,47,Now married,0,1,0,White,Less than High School
29346,1,50,Divorced,48700,0,0,White,Some College
29346,2,40,Separated,5000,1,0,White,Some College
